solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,128,128,2048,16384,512,512,0,10,device,0.156290412,0.156280582,0.000993802,5.364e-05,0.153067125,5.8197e-05,3.4702e-05,1.5363e-05,0.002603487,1.6295e-05,0.000256275,0.001278739,0.154901358,0.000141342
tdma,cuda-cxx,4,128,128,2048,16384,512,512,1,10,device,0.001274413,0.00126473575,0.000785338,3.7516e-05,8.663e-05,3.3089e-05,1.6195e-05,1.4622e-05,4.5448e-05,1.4232e-05,0.000248753,0.001050286,0.000131838,9.9459e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,2,10,device,0.001200441,0.00119242425,0.000772429,3.5363e-05,4.021e-05,3.2429e-05,1.5554e-05,1.4421e-05,4.048e-05,1.4602e-05,0.000246189,0.001028484,7.8238e-05,9.6815e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,3,10,device,0.001183355,0.00117586925,0.00077261,3.5524e-05,3.4242e-05,3.2869e-05,1.4222e-05,1.4091e-05,3.0346e-05,1.4512e-05,0.000246259,0.001029885,6.4588e-05,9.6996e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,4,10,device,0.001200692,0.00119310075,0.000779099,3.4401e-05,3.8478e-05,3.2428e-05,1.4422e-05,1.4682e-05,4.0972e-05,1.4201e-05,0.000247021,0.001040542,7.8018e-05,9.5712e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,5,10,device,0.001183386,0.0011769815,0.000773271,3.5163e-05,3.5493e-05,3.2439e-05,1.4221e-05,1.4351e-05,3.2349e-05,1.4502e-05,0.000244907,0.001027752,6.5698e-05,9.6415e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,6,10,device,0.001184638,0.00117637025,0.000771898,3.5023e-05,3.338e-05,3.331e-05,1.3991e-05,1.4812e-05,3.329e-05,1.4221e-05,0.000246099,0.001031988,6.667e-05,9.7366e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,7,10,device,0.00118612,0.00117912925,0.000773891,3.5423e-05,3.349e-05,3.2819e-05,1.4482e-05,1.4162e-05,3.1998e-05,1.4412e-05,0.000245538,0.001033911,6.3996e-05,9.6765e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,8,10,device,0.001181393,0.00117297525,0.000770036,3.5263e-05,3.37e-05,3.2358e-05,1.3981e-05,1.5173e-05,2.7451e-05,1.4301e-05,0.000247591,0.001028443,6.1151e-05,9.6995e-05
tdma,cuda-cxx,4,128,128,2048,16384,512,512,9,10,device,0.001199119,0.00118076175,0.000771508,3.6324e-05,2.9635e-05,3.2609e-05,1.4202e-05,1.4712e-05,4.1412e-05,1.4161e-05,0.000248343,0.001031398,6.9654e-05,9.7806e-05
