solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,128,256,4096,32768,512,512,0,10,device,0.208627343,0.2082699275,0.001159961,8.0591e-05,0.20229553,9.1427e-05,5.6475e-05,2.8103e-05,0.01428058,3.0696e-05,0.000305468,0.001507351,0.206924898,0.000228223
tdma,cuda-cxx,8,128,256,4096,32768,512,512,1,10,device,0.00155277,0.001543657875,0.000886451,6.5969e-05,0.000128092,6.2985e-05,2.0961e-05,2.3725e-05,8.4136e-05,2.3485e-05,0.000282143,0.001185629,0.000201081,0.000176164
tdma,cuda-cxx,8,128,256,4096,32768,512,512,2,10,device,0.001470447,0.00145632175,0.000882093,6.4698e-05,5.8458e-05,6.0831e-05,1.9138e-05,2.3144e-05,6.664e-05,2.3075e-05,0.000282494,0.001183314,0.00012033,0.000171748
tdma,cuda-cxx,8,128,256,4096,32768,512,512,3,10,device,0.001478939,0.00146542025,0.000883105,6.3475e-05,6.4217e-05,7.5033e-05,1.8918e-05,2.2755e-05,7.0866e-05,2.3135e-05,0.000282604,0.001183176,0.000131907,0.000178519
tdma,cuda-cxx,8,128,256,4096,32768,512,512,4,10,device,0.00147289,0.001460957375,0.000882744,6.4466e-05,6.2924e-05,6.2784e-05,1.8938e-05,2.3416e-05,6.9254e-05,3.0987e-05,0.000281843,0.001183525,0.00012692,0.000173971
tdma,cuda-cxx,8,128,256,4096,32768,512,512,5,10,device,0.001463877,0.0014538855,0.000883776,6.5999e-05,5.7346e-05,6.1593e-05,1.9109e-05,2.2874e-05,5.7646e-05,2.2925e-05,0.000284928,0.001186631,0.000113249,0.000173391
tdma,cuda-cxx,8,128,256,4096,32768,512,512,6,10,device,0.001463506,0.001452418125,0.000882825,6.5829e-05,6.1061e-05,6.1723e-05,1.9039e-05,2.2714e-05,6.1362e-05,2.3075e-05,0.000282124,0.001182845,0.000122423,0.000173221
tdma,cuda-cxx,8,128,256,4096,32768,512,512,7,10,device,0.001466341,0.0014553315,0.000883727,6.4447e-05,5.6114e-05,6.1021e-05,1.8888e-05,2.3104e-05,6.719e-05,2.3275e-05,0.000280901,0.001182906,0.000123274,0.000171808
tdma,cuda-cxx,8,128,256,4096,32768,512,512,8,10,device,0.001455875,0.001445879875,0.000883076,6.5057e-05,5.1296e-05,6.1533e-05,1.9029e-05,2.2955e-05,5.7896e-05,2.2894e-05,0.000283886,0.001184589,0.000107931,0.000172409
tdma,cuda-cxx,8,128,256,4096,32768,512,512,9,10,device,0.001471107,0.0014580015,0.000881463,6.5589e-05,5.8237e-05,8.0261e-05,1.9109e-05,2.3285e-05,6.5959e-05,2.2924e-05,0.000281602,0.001181142,0.000121302,0.000183845
