solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,128,512,2048,65536,256,256,0,10,device,0.21028474,0.20998011275,0.000845188,8.0951e-05,0.203559668,9.8948e-05,6.8213e-05,2.4757e-05,0.018327544,3.0716e-05,0.000202034,0.001110107,0.208984079,0.00023436
tdma,cuda-cxx,8,128,512,2048,65536,256,256,1,10,device,0.001154723,0.0011454775,0.000568213,7.0767e-05,0.000128313,6.85030000001e-05,2.01700000001e-05,2.4066e-05,9.6304e-05,2.3966e-05,0.00017999,0.00076678,0.00021336,0.000184967
tdma,cuda-cxx,8,128,512,2048,65536,256,256,2,10,device,0.00105311,0.001043092625,0.000564106,6.8413e-05,5.95489999999e-05,6.6019e-05,1.9189e-05,2.3746e-05,5.5944e-05,2.4287e-05,0.000178879,0.000760661,0.000115483,0.000182465
tdma,cuda-cxx,8,128,512,2048,65536,256,256,3,10,device,0.001061843,0.00104630375,0.000564057,6.90840000001e-05,6.26340000001e-05,6.51779999999e-05,1.8919e-05,2.3365e-05,6.05410000001e-05,2.48970000001e-05,0.000178799,0.000761193,0.000122915,0.000182284
tdma,cuda-cxx,8,128,512,2048,65536,256,256,4,10,device,0.001052179,0.001047657375,0.000564357,6.8422e-05,6.657e-05,6.56889999999e-05,1.8858e-05,2.4076e-05,5.57329999999e-05,2.4086e-05,0.00017973,0.000762165,0.000120631,0.000182243
tdma,cuda-cxx,8,128,512,2048,65536,256,256,5,10,device,0.001060191,0.001056749375,0.000563565,6.8663e-05,7.0876e-05,6.5277e-05,1.89580000001e-05,3.4352e-05,6.06000000001e-05,2.4687e-05,0.000180421,0.00076037,0.000123925,0.000181832
tdma,cuda-cxx,8,128,512,2048,65536,256,256,6,10,device,0.001050907,0.001043551,0.000564537,6.9204e-05,5.98500000001e-05,6.5939e-05,1.9028e-05,2.41360000001e-05,5.42520000001e-05,2.4797e-05,0.000178758,0.000760981,0.00011302,0.000183094
tdma,cuda-cxx,8,128,512,2048,65536,256,256,7,10,device,0.001057517,0.00105080175,0.000566149,6.9083e-05,6.4297e-05,6.60889999999e-05,1.8638e-05,2.3825e-05,6.40359999999e-05,2.4366e-05,0.000178408,0.000762022,0.000122164,0.000183333
tdma,cuda-cxx,8,128,512,2048,65536,256,256,8,10,device,0.001053231,0.0010432335,0.000563346,6.9154e-05,5.972e-05,7.29589999999e-05,1.92880000001e-05,2.3615e-05,5.8438e-05,2.6881e-05,0.000179119,0.0007602,0.000116505,0.000183205
tdma,cuda-cxx,8,128,512,2048,65536,256,256,9,10,device,0.001049525,0.00104523225,0.000563065,6.8943e-05,5.994e-05,6.58990000001e-05,1.88990000001e-05,2.3806e-05,5.95689999999e-05,2.46269999999e-05,0.00017952,0.000760732,0.000119509,0.000183275
