solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,0,10,device,0.044854012,0.0448222395,0.001753912,3.1607e-05,0.04078177,4.9725e-05,2.8903e-05,1.0205e-05,0.002428765,1.1738e-05,0.00050607,0.002288885,0.042465467,0.000103275
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,1,10,device,0.002274714,0.0022717045,0.001553732,2.2714e-05,0.000136655,2.1102e-05,1.2819e-05,9.985e-06,1.6335e-05,9.905e-06,0.000495674,0.002062225,0.00015299,6.3215e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,2,10,device,0.002161304,0.0021577035,0.001550237,2.1532e-05,3.0436e-05,2.0211e-05,1.1607e-05,1.0075e-05,1.9048e-05,9.604e-06,0.000496285,0.002058129,4.9484e-05,6.1422e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,3,10,device,0.00215216,0.002150152,0.001551489,2.023e-05,1.9389e-05,2.021e-05,1.1267e-05,9.805e-06,1.8558e-05,9.524e-06,0.000494973,0.002057729,3.7947e-05,5.9769e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,4,10,device,0.002157607,0.0021540115,0.001546491,2.1192e-05,1.7797e-05,1.982e-05,1.1507e-05,9.915e-06,2.678e-05,9.545e-06,0.000497626,0.002054932,4.3635e-05,6.0472e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,5,10,device,0.002147663,0.0021450895,0.001545059,2.1102e-05,1.8928e-05,1.975e-05,1.1487e-05,9.855e-06,1.9489e-05,9.775e-06,0.000495123,0.002051669,3.7346e-05,6.0482e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,6,10,device,0.002153672,0.002149511,0.001547212,2.1492e-05,1.9249e-05,2.2243e-05,1.1337e-05,9.95500000001e-06,2.0981e-05,9.87500000001e-06,0.000497547,0.002056096,4.023e-05,6.3435e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,7,10,device,0.002150437,0.002147488,0.001550597,2.1433e-05,1.9158e-05,1.973e-05,1.1287e-05,9.865e-06,1.4812e-05,9.71399999999e-06,0.000496696,0.00205858,3.397e-05,6.0742e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,8,10,device,0.002149736,0.0021482085,0.001546541,2.1642e-05,2.22439999999e-05,2.02600000001e-05,1.1528e-05,9.63399999998e-06,1.7947e-05,9.80500000003e-06,0.000496105,0.002054174,4.0191e-05,6.13410000001e-05
tdma,cuda-cxx,2,128,128,2048,16384,1024,1024,9,10,device,0.002156316,0.0021525405,0.001550798,2.0811e-05,1.9981e-05,2.02709999999e-05,1.15470000001e-05,9.69500000003e-06,1.8498e-05,9.36399999996e-06,0.000499379,0.002061724,3.8479e-05,6.01409999998e-05
