solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,fortran-original,1,64,64,2048,4096,2048,2048,0,10,device,  3.4886349999999999E-03,  3.4886349999999999E-03,  3.4872330000000002E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.4872330000000002E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,1,10,device,  3.0639180000000005E-03,  3.0639180000000005E-03,  3.0637270000000005E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0637270000000005E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,2,10,device,  3.0276529999999982E-03,  3.0276529999999982E-03,  3.0275940000000015E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0275940000000015E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,3,10,device,  3.0318300000000027E-03,  3.0318300000000027E-03,  3.0317699999999996E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0317699999999996E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,4,10,device,  3.0090160000000032E-03,  3.0090160000000032E-03,  3.0089560000000001E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0089560000000001E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,5,10,device,  3.0319099999999988E-03,  3.0319099999999988E-03,  3.0318489999999997E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0318489999999997E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,6,10,device,  3.0279529999999999E-03,  3.0279529999999999E-03,  3.0278939999999997E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0278939999999997E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,7,10,device,  3.0215950000000019E-03,  3.0215950000000019E-03,  3.0215450000000005E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0215450000000005E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,8,10,device,  3.0299469999999981E-03,  3.0299469999999981E-03,  3.0298870000000019E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0298870000000019E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,fortran-original,1,64,64,2048,4096,2048,2048,9,10,device,  3.0209939999999991E-03,  3.0209939999999991E-03,  3.0209230000000017E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  3.0209230000000017E-03,  0.0000000000000000E+00,  0.0000000000000000E+00
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,0,10,device,0.002914574,0.002914574,0.002914254,0,0,0,0,0,0,0,0,0.002914254,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,1,10,device,0.002621193,0.002621193,0.002620953,0,0,0,0,0,0,0,0,0.002620953,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,2,10,device,0.002593262,0.002593262,0.002593201,0,0,0,0,0,0,0,0,0.002593201,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,3,10,device,0.002589336,0.002589336,0.002589276,0,0,0,0,0,0,0,0,0.002589276,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,4,10,device,0.002590949,0.002590949,0.002590888,0,0,0,0,0,0,0,0,0.002590888,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,5,10,device,0.002608695,0.002608695,0.002608635,0,0,0,0,0,0,0,0,0.002608635,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,6,10,device,0.002592201,0.002592201,0.002592161,0,0,0,0,0,0,0,0,0.002592161,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,7,10,device,0.002593653,0.002593653,0.002593593,0,0,0,0,0,0,0,0,0.002593593,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,8,10,device,0.002596276,0.002596276,0.002596216,0,0,0,0,0,0,0,0,0.002596216,0,0
tdma,cuda-cxx,1,64,64,2048,4096,2048,2048,9,10,device,0.002591228,0.002591228,0.002591168,0,0,0,0,0,0,0,0,0.002591168,0,0
