solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,0,10,host,0.070180318,0.07015075375,0.001776376,5.6294e-05,0.067485604,6.1332e-05,3.8939e-05,1.4882e-05,0.002148675,1.5352e-05,0.000505428,0.00231183,0.067732235,0.000143324
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,1,10,host,0.002481795,0.00247665925,0.001553311,3.6054e-05,0.000230436,3.316e-05,1.4472e-05,1.4242e-05,9.5514e-05,1.3841e-05,0.000495213,0.002062575,0.000325429,9.6175e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,2,10,host,0.002441694,0.00243649625,0.001547783,3.4943e-05,0.000203095,3.333e-05,1.4281e-05,1.3951e-05,9.5514e-05,1.4262e-05,0.000496585,0.002057897,0.000294522,9.6346e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,3,10,host,0.002423086,0.002414696,0.001551558,3.5483e-05,0.000196895,3.321e-05,1.4071e-05,1.3981e-05,7.8788e-05,1.4612e-05,0.000497787,0.002056476,0.000275423,9.7286e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,4,10,host,0.002433132,0.00242559775,0.001549515,3.4461e-05,0.000198898,3.328e-05,1.3951e-05,1.3921e-05,8.7101e-05,1.4432e-05,0.000496365,0.002057077,0.000283655,9.4982e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,5,10,host,0.002435896,0.002426156,0.001551408,3.4211e-05,0.000204998,3.2408e-05,1.4191e-05,1.387e-05,7.996e-05,1.4282e-05,0.000497196,0.00205993,0.000282173,9.4441e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,6,10,host,0.002432921,0.00242606575,0.001551328,3.4451e-05,0.000207892,3.281e-05,1.4222e-05,1.4271e-05,8.1041e-05,1.4361e-05,0.000496415,0.00205941,0.000288933,9.5893e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,7,10,host,0.002434243,0.00242881725,0.001549405,3.5143e-05,0.00019308,3.2248e-05,1.4121e-05,1.382e-05,9.313e-05,1.3751e-05,0.000497166,0.002057538,0.000283766,9.4722e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,8,10,host,0.002428705,0.0024222475,0.001550797,3.4552e-05,0.000195984,3.2008e-05,1.4151e-05,1.4542e-05,8.7561e-05,1.3961e-05,0.000494012,0.002056066,0.000280731,9.4863e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,9,10,host,0.002426151,0.0024166145,0.001549906,3.4832e-05,0.000197416,3.2949e-05,1.4151e-05,1.4472e-05,8.1702e-05,1.4182e-05,0.000498458,0.002057808,0.000278257,9.5914e-05
