solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,0,10,device,0.117692659,0.117671585,0.001770817,4.8734e-05,0.111865154,6.0731e-05,4.4367e-05,1.4551e-05,0.010238766,1.6494e-05,0.000507301,0.002316286,0.115255413,0.000139099
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,1,10,device,0.002281274,0.00227018475,0.00155306,3.6745e-05,8.01e-05,3.3601e-05,1.5393e-05,1.4412e-05,4.2404e-05,1.4552e-05,0.00049945,0.002064268,0.000122504,9.9149e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,2,10,device,0.002232079,0.0022259305,0.001551458,3.6235e-05,4.4056e-05,3.5844e-05,1.4312e-05,1.4231e-05,3.4622e-05,1.4391e-05,0.000497767,0.002059761,7.8678e-05,9.9128e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,3,10,device,0.002204027,0.00220083525,0.001548133,3.5143e-05,3.1567e-05,3.2729e-05,1.3851e-05,1.375e-05,2.8362e-05,1.4592e-05,0.000494332,0.002051128,5.7806e-05,9.6154e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,4,10,device,0.002218019,0.00221475375,0.001548734,3.5634e-05,3.0446e-05,3.2659e-05,1.3981e-05,1.384e-05,3.977e-05,1.4071e-05,0.000496565,0.002056327,7.0216e-05,9.6074e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,5,10,device,0.002213492,0.00220379775,0.001546441,3.4682e-05,2.8413e-05,3.3079e-05,1.4081e-05,1.4321e-05,3.4531e-05,1.4592e-05,0.000495544,0.002056066,6.2152e-05,9.53319999999e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,6,10,device,0.002214943,0.002209771,0.001550036,3.4902e-05,3.0616e-05,3.324e-05,1.4652e-05,1.3811e-05,3.349e-05,1.3961e-05,0.000497216,0.002061904,6.1953e-05,9.5674e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,7,10,device,0.002203617,0.002200858,0.00154601,3.5973e-05,2.9634e-05,3.1998e-05,1.4411e-05,1.4392e-05,2.7611e-05,1.4242e-05,0.000496254,0.002053211,5.7165e-05,9.5672e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,8,10,device,0.002211429,0.00220745275,0.001550968,3.5323e-05,3.3601e-05,3.279e-05,1.4772e-05,1.4852e-05,2.8183e-05,1.3791e-05,0.000497977,0.002058369,6.1083e-05,9.5744e-05
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,9,10,device,0.002210938,0.002205998,0.001550447,3.6364e-05,3.2809e-05,3.2629e-05,1.387e-05,1.4061e-05,2.696e-05,1.4251e-05,0.000498258,0.002058889,5.9769e-05,9.6735e-05
