solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,0,10,device,0.04897176,0.048969412,0.006298873,3.1898e-05,0.039328269,4.5218e-05,2.9374e-05,1.0116e-05,0.001471748,1.2429e-05,0.001956776,0.008275458,0.040597002,9.9661e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,1,10,device,0.008298304,0.0082942925,0.006105533,2.3275e-05,0.000163706,2.0461e-05,1.328e-05,1.0185e-05,1.6194e-05,9.74499999998e-06,0.001941534,0.008054567,0.00017957,6.3666e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,2,10,device,0.008155128,0.008151693,0.006100995,2.1743e-05,2.5979e-05,1.9981e-05,1.1418e-05,9.56399999999e-06,1.7476e-05,9.66399999999e-06,0.00194553,0.008057943,4.3455e-05,6.0952e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,3,10,device,0.008169489,0.008164993,0.006108466,2.1392e-05,4.9323e-05,1.9899e-05,1.1608e-05,9.704e-06,1.325e-05,9.56499999999e-06,0.001942124,0.008053215,6.2532e-05,6.056e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,4,10,device,0.008170651,0.008167802,0.006113665,2.1342e-05,2.8242e-05,1.9869e-05,1.1608e-05,9.47400000001e-06,2.5959e-05,9.68399999998e-06,0.001942976,0.008068249,5.4201e-05,6.0369e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,5,10,device,0.008147937,0.008145233,0.00609729,2.0891e-05,1.8829e-05,1.956e-05,1.1587e-05,9.68499999998e-06,2.006e-05,9.535e-06,0.001944027,0.008052904,3.7937e-05,5.9671e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,6,10,device,0.008150962,0.0081465105,0.006100495,2.1072e-05,1.8848e-05,1.9629e-05,1.1518e-05,1.0255e-05,1.7045e-05,9.99500000001e-06,0.001944978,0.008055499,3.4441e-05,6.0881e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,7,10,device,0.008164212,0.008158238,0.006110319,2.3486e-05,3.5343e-05,1.982e-05,1.1397e-05,9.77400000002e-06,1.7776e-05,9.66400000002e-06,0.001946061,0.008067777,5.3119e-05,6.27440000001e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,8,10,device,0.008162509,0.0081542465,0.006102668,2.1352e-05,2.5429e-05,1.9569e-05,1.1437e-05,1.0025e-05,1.7406e-05,9.79500000001e-06,0.001954253,0.008068358,4.2835e-05,6.031e-05
tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,9,10,device,0.008157711,0.008152839,0.006105592,2.1341e-05,3.381e-05,1.944e-05,1.1387e-05,9.865e-06,1.3601e-05,9.484e-06,0.001951428,0.008058623,4.73009999999e-05,6.013e-05
