solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,128,128,4096,16384,512,512,0,10,host,0.148134292,0.148109895375,0.001068854,8.1553e-05,0.139530741,9.2038e-05,5.5814e-05,2.4807e-05,0.012886218,2.718e-05,0.000253981,0.001368004,0.146577025,0.000217786
tdma,cuda-cxx,8,128,128,4096,16384,512,512,1,10,host,0.001674873,0.001659531375,0.000777717,6.3987e-05,0.000332679,6.6009e-05,1.9529e-05,2.9024e-05,0.000210065,2.3465e-05,0.000245809,0.00103306,0.000484257,0.000177889
tdma,cuda-cxx,8,128,128,4096,16384,512,512,2,10,host,0.001607393,0.00159310975,0.000769335,6.3265e-05,0.000277686,6.2103e-05,1.8578e-05,2.7321e-05,0.000157857,2.3035e-05,0.000245738,0.001027843,0.000413861,0.000173601
tdma,cuda-cxx,8,128,128,4096,16384,512,512,3,10,host,0.001621263,0.00160590225,0.000775855,6.3415e-05,0.000281031,6.1943e-05,1.8468e-05,2.648e-05,0.000160391,2.3255e-05,0.000244247,0.001030296,0.000429474,0.00017339
tdma,cuda-cxx,8,128,128,4096,16384,512,512,4,10,host,0.001621032,0.001607009,0.000769385,6.4697e-05,0.000287142,6.2734e-05,2.0421e-05,2.9213e-05,0.000162334,2.3225e-05,0.000245038,0.001026792,0.000427772,0.000176765
tdma,cuda-cxx,8,128,128,4096,16384,512,512,5,10,host,0.001616987,0.001602705375,0.000771098,6.2593e-05,0.000280962,6.2564e-05,1.8428e-05,2.5067e-05,0.000154512,2.2865e-05,0.000244727,0.001030588,0.000429194,0.000172318
tdma,cuda-cxx,8,128,128,4096,16384,512,512,6,10,host,0.001884588,0.001871002875,0.000769564,6.5278e-05,0.000562825,6.1732e-05,1.8838e-05,2.9304e-05,0.000160351,2.3376e-05,0.000245178,0.001027942,0.000688333,0.000175664
tdma,cuda-cxx,8,128,128,4096,16384,512,512,7,10,host,0.001629165,0.00161412975,0.000768543,6.2844e-05,0.000284717,6.2734e-05,1.7807e-05,2.6019e-05,0.000162624,2.2754e-05,0.000244858,0.001031018,0.000444938,0.000173539
tdma,cuda-cxx,8,128,128,4096,16384,512,512,8,10,host,0.001588364,0.001572879,0.000774873,6.3696e-05,0.000259078,6.2654e-05,1.8087e-05,2.8322e-05,0.000156055,2.3855e-05,0.00024616,0.001031628,0.000395324,0.000173191
tdma,cuda-cxx,8,128,128,4096,16384,512,512,9,10,host,0.001604508,0.0015906695,0.000770066,6.5228e-05,0.000289314,6.0742e-05,1.7857e-05,2.5889e-05,0.000143275,2.3605e-05,0.000247531,0.001028843,0.000407832,0.00017314
