solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,64,64,4096,4096,512,512,0,10,device,0.206414401,0.2063745955,0.000879059,7.0335e-05,0.202923974,9.7716e-05,6.2373e-05,2.4367e-05,0.018887645,2.9444e-05,0.000176765,0.001096475,0.205165698,0.000218316
tdma,cuda-cxx,8,64,64,4096,4096,512,512,1,10,device,0.001144638,0.00111629775,0.000622434,6.0891e-05,0.000101292,5.8839e-05,1.9459e-05,2.2904e-05,9.2088e-05,2.3094e-05,0.000164036,0.000803466,0.00018677,0.000165728
tdma,cuda-cxx,8,64,64,4096,4096,512,512,2,10,device,0.001068513,0.0010437135,0.000622845,5.8808e-05,6.1523e-05,5.7406e-05,1.7867e-05,2.2774e-05,6.5899e-05,2.3105e-05,0.000164036,0.000798588,0.000121172,0.000161252
tdma,cuda-cxx,8,64,64,4096,4096,512,512,3,10,device,0.001091638,0.00105972275,0.000623215,5.9409e-05,7.0386e-05,5.7456e-05,1.7687e-05,2.2674e-05,6.4828e-05,2.2814e-05,0.00016659,0.000807492,0.000133511,0.000162012
tdma,cuda-cxx,8,64,64,4096,4096,512,512,4,10,device,0.001067211,0.001046781875,0.000623996,5.8828e-05,6.689e-05,5.7276e-05,1.7536e-05,2.3495e-05,6.0951e-05,2.2453e-05,0.000162043,0.000795714,0.000127841,0.000161852
tdma,cuda-cxx,8,64,64,4096,4096,512,512,5,10,device,0.001068594,0.001045288875,0.00061931,5.8548e-05,6.1822e-05,5.7106e-05,1.7736e-05,2.3165e-05,6.4597e-05,2.3025e-05,0.000163566,0.000800612,0.000118939,0.000161844
tdma,cuda-cxx,8,64,64,4096,4096,512,512,6,10,device,0.001077978,0.00104740325,0.000620211,5.981e-05,6.5238e-05,5.8057e-05,1.7797e-05,2.2704e-05,6.0992e-05,2.4016e-05,0.000165589,0.000803597,0.00012022,0.000163575
tdma,cuda-cxx,8,64,64,4096,4096,512,512,7,10,device,0.001074693,0.001056357625,0.000624367,5.9439e-05,6.023e-05,6.4557e-05,1.8408e-05,2.2384e-05,7.3581e-05,2.3085e-05,0.000162364,0.000801803,0.00012679,0.000169415
tdma,cuda-cxx,8,64,64,4096,4096,512,512,8,10,device,0.001073682,0.001046380375,0.000623425,5.8507e-05,6.5088e-05,5.7987e-05,1.7837e-05,2.3225e-05,6.4627e-05,2.2974e-05,0.000164237,0.000805499,0.000128993,0.000162493
tdma,cuda-cxx,8,64,64,4096,4096,512,512,9,10,device,0.001069755,0.001044240625,0.000624948,6.1582e-05,5.7386e-05,5.8488e-05,1.7857e-05,2.2985e-05,6.05e-05,2.3195e-05,0.000162383,0.000801012,0.000117597,0.000163445
