solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,0,10,device,0.101021962,0.10099562225,0.003335866,4.8072e-05,0.095093034,5.9018e-05,5.6966e-05,1.5313e-05,0.003025681,1.6845e-05,0.001018598,0.004385871,0.096537122,0.000138998
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,1,10,device,0.004434665,0.00441938425,0.003109736,3.7747e-05,0.000162954,3.5183e-05,1.5964e-05,1.4822e-05,4.5519e-05,1.4471e-05,0.001004457,0.004129216,0.000202825,0.000102223
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,2,10,device,0.004290089,0.00428306575,0.00310471,3.5884e-05,4.3385e-05,3.3741e-05,1.4602e-05,1.4492e-05,3.4793e-05,1.4501e-05,0.001008264,0.004127216,7.7076e-05,9.7786e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,3,10,device,0.004282016,0.004273663,0.003107874,3.6124e-05,4.001e-05,3.3581e-05,1.4141e-05,1.4191e-05,3.0736e-05,1.4492e-05,0.001008283,0.004130038,7.0105e-05,9.8388e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,4,10,device,0.004277079,0.00427274225,0.003102977,3.6014e-05,3.1647e-05,3.4311e-05,1.4322e-05,1.4021e-05,3.4081e-05,1.4612e-05,0.001003486,0.004118762,6.5178e-05,9.8427e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,5,10,device,0.004274895,0.004267689,0.003103648,3.6485e-05,3.5604e-05,3.362e-05,1.4352e-05,1.4331e-05,2.9814e-05,1.4491e-05,0.001006,0.004123439,6.4526e-05,9.8927e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,6,10,device,0.004275366,0.00427118225,0.003104409,3.6775e-05,3.4472e-05,3.3921e-05,1.4132e-05,1.4232e-05,3.2369e-05,1.4742e-05,0.001002605,0.004120625,6.4627e-05,9.967e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,7,10,device,0.004268506,0.00426514825,0.003106802,3.6174e-05,3.1087e-05,3.3401e-05,1.4632e-05,1.4311e-05,2.681e-05,1.4312e-05,0.001001573,0.004119812,5.7376e-05,9.7838e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,8,10,device,0.004287083,0.004284357,0.003115254,3.5703e-05,5.1407e-05,3.3229e-05,1.4572e-05,1.4682e-05,3.0305e-05,1.4331e-05,0.001005409,0.004130017,8.1712e-05,9.7926e-05
tdma,cuda-cxx,4,128,128,8192,16384,2048,2048,9,10,device,0.004273083,0.0042690565,0.0031051,3.6475e-05,3.1307e-05,3.364e-05,1.4241e-05,1.4832e-05,3.1087e-05,1.7586e-05,0.001003205,0.004121155,5.8938e-05,0.000102443
