solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,0,10,device,0.048015236,0.0480005885,0.002989236,3.0786e-05,0.042334831,4.4436e-05,3.0415e-05,9.805e-06,0.002750037,1.2108e-05,0.000902745,0.003907303,0.044016655,9.7135e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,1,10,device,0.003793142,0.003773573,0.002775495,2.1482e-05,4.2814e-05,1.96e-05,1.2919e-05,9.735e-06,1.5573e-05,9.274e-06,0.000889435,0.003677849,5.7376e-05,5.9459e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,2,10,device,0.003765441,0.0037453805,0.002777718,2.0501e-05,2.2373e-05,1.8197e-05,1.0996e-05,9.224e-06,1.2959e-05,9.19399999999e-06,0.000889315,0.003674074,3.5252e-05,5.7096e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,3,10,device,0.003769938,0.003748531,0.002784389,2.003e-05,3.5613e-05,1.8337e-05,1.1277e-05,9.464e-06,1.339e-05,9.06299999999e-06,0.000889615,0.003665831,4.9003e-05,5.6553e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,4,10,device,0.0037715,0.0037521705,0.002782605,2.0019e-05,2.5989e-05,1.7997e-05,1.1067e-05,9.263e-06,2e-05,9.16299999999e-06,0.000887041,0.003669927,4.5748e-05,5.6082e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,5,10,device,0.003759603,0.003738756,0.002773592,2.1011e-05,1.5313e-05,1.8097e-05,1.1487e-05,9.42499999999e-06,1.4642e-05,9.254e-06,0.000889174,0.003673742,2.9955e-05,5.7516e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,6,10,device,0.003773783,0.0037561115,0.002778309,2.022e-05,2.626e-05,1.8378e-05,1.1076e-05,9.284e-06,2.5408e-05,9.465e-06,0.000886581,0.003666592,5.0426e-05,5.7206e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,7,10,device,0.003770649,0.0037503435,0.002781084,2.004e-05,1.9389e-05,1.8478e-05,1.0846e-05,9.464e-06,1.322e-05,9.36300000001e-06,0.000890386,0.003681244,3.2609e-05,5.7136e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,8,10,device,0.003773583,0.0037541185,0.002779792,1.973e-05,2.656e-05,1.8357e-05,1.1428e-05,9.26399999999e-06,1.368e-05,9.08400000001e-06,0.000890817,0.003682037,4.024e-05,5.6244e-05
tdma,cuda-cxx,2,64,64,4096,4096,2048,2048,9,10,device,0.003772041,0.0037526415,0.002786422,1.9809e-05,1.8598e-05,1.952e-05,1.1227e-05,9.34399999999e-06,1.4292e-05,9.08300000001e-06,0.000889225,0.003682838,3.289e-05,5.7116e-05
