solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg
tdma,fortran-original,1,128,128,4096,16384,4096,4096,9,10,device,  6.5265139999999972E-03,  6.5265139999999972E-03
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,0,10,host,0.005806493,0.005806493
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,1,10,host,0.005574325,0.005574325
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,2,10,host,0.005600194,0.005600194
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,3,10,host,0.005586374,0.005586374
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,4,10,host,0.005601737,0.005601737
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,5,10,host,0.005595808,0.005595808
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,6,10,host,0.005571501,0.005571501
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,7,10,host,0.005588506,0.005588506
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,8,10,host,0.005581506,0.005581506
tdma,cuda-cxx,1,128,128,4096,16384,4096,4096,9,10,host,0.00558373,0.00558373
tdma,fortran-original,2,64,64,2048,4096,1024,1024,0,10,device,  4.4807511000000001E-02,  4.4796619499999996E-02
tdma,fortran-original,2,64,64,2048,4096,1024,1024,1,10,device,  1.8260400000000010E-03,  1.8054940000000012E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,2,10,device,  1.8206419999999973E-03,  1.8004265000000005E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,3,10,device,  1.8375779999999994E-03,  1.8140474999999989E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,4,10,device,  1.8246279999999948E-03,  1.8039774999999980E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,5,10,device,  1.8272020000000000E-03,  1.8062904999999983E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,6,10,device,  1.8205920000000028E-03,  1.7991395000000014E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,7,10,device,  1.8302560000000023E-03,  1.8101415000000010E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,8,10,device,  1.8204120000000004E-03,  1.8011079999999992E-03
tdma,fortran-original,2,64,64,2048,4096,1024,1024,9,10,device,  1.8160350000000006E-03,  1.7953090000000019E-03
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,0,10,host,0.029676854,0.029671892
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,1,10,host,0.008680246,0.008325764
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,2,10,host,0.002863096,0.0028448035
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,3,10,host,0.001911859,0.0018915835
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,4,10,host,0.001913973,0.001892896
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,5,10,host,0.00191241,0.001892345
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,6,10,host,0.001917458,0.0018959705
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,7,10,host,0.001914603,0.0018942075
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,8,10,host,0.001907833,0.0018877375
tdma,cuda-cxx,2,64,64,2048,4096,1024,1024,9,10,host,0.001907383,0.0018858105
