solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,128,128,2048,16384,256,256,0,10,device,0.205104616,0.205070080375,0.000602244,7.1718e-05,0.201657443,9.1036e-05,5.6064e-05,2.4176e-05,0.022045282,2.646e-05,0.000133169,0.00076622,0.204137404,0.000208902
tdma,cuda-cxx,8,128,128,2048,16384,256,256,1,10,device,0.000892659,0.00088161525,0.000378438,6.3946e-05,0.000142103,6.1943e-05,1.971e-05,2.3365e-05,9.996e-05,2.3205e-05,0.000121312,0.000510947,0.000215032,0.000171108
tdma,cuda-cxx,8,128,128,2048,16384,256,256,2,10,device,0.000796214,0.00077986025,0.00037352,6.3084e-05,6.2604e-05,6.003e-05,1.8759e-05,2.3525e-05,6.687e-05,2.3095e-05,0.000121061,0.000511246,0.000122463,0.000168472
tdma,cuda-cxx,8,128,128,2048,16384,256,256,3,10,device,0.000781913,0.00077254425,0.000374212,6.3405e-05,6.2203e-05,5.999e-05,1.8327e-05,2.3075e-05,5.5283e-05,2.3566e-05,0.000119319,0.000504706,0.000117346,0.000168253
tdma,cuda-cxx,8,128,128,2048,16384,256,256,4,10,device,0.00078592,0.000774848125,0.000372749,6.2133e-05,5.7437e-05,6.017e-05,1.8158e-05,2.3164e-05,6.4276e-05,2.2564e-05,0.000119079,0.000505139,0.000118297,0.000167962
tdma,cuda-cxx,8,128,128,2048,16384,256,256,5,10,device,0.000783426,0.000775378625,0.000373651,6.2954e-05,5.8458e-05,5.993e-05,2.2824e-05,2.7141e-05,5.6555e-05,2.3034e-05,0.000119359,0.000511248,0.000115013,0.000169143
tdma,cuda-cxx,8,128,128,2048,16384,256,256,6,10,device,0.000784687,0.00077404025,0.000376725,6.3415e-05,6.2353e-05,6.0391e-05,1.8367e-05,2.2724e-05,5.4472e-05,2.3285e-05,0.000126419,0.000515243,0.000113971,0.000168302
tdma,cuda-cxx,8,128,128,2048,16384,256,256,7,10,device,0.000782034,0.000773569625,0.000373591,6.2393e-05,5.8187e-05,6.0711e-05,1.8137e-05,2.2855e-05,6.3275e-05,2.3325e-05,0.00011983,0.000505929,0.000115783,0.000168844
tdma,cuda-cxx,8,128,128,2048,16384,256,256,8,10,device,0.000942785,0.00093224025,0.000517797,6.4547e-05,0.000216095,6.0311e-05,1.8588e-05,2.3074e-05,5.967e-05,2.3205e-05,0.000120781,0.000650996,0.000274913,0.000171137
tdma,cuda-cxx,8,128,128,2048,16384,256,256,9,10,device,0.000772479,0.00076213375,0.000376234,6.2523e-05,5.1938e-05,5.957e-05,1.8397e-05,2.2744e-05,5.344e-05,2.3305e-05,0.000118929,0.000506379,0.000104247,0.000168142
