solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,0,10,device,0.098790723,0.098769674,0.001561763,4.4707e-05,0.094813725,5.8057e-05,4.7932e-05,1.4913e-05,0.003567494,1.6355e-05,0.000430075,0.002021694,0.096651694,0.000134032
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,1,10,device,0.001956306,0.001925124,0.001328874,3.5724e-05,7.1187e-05,3.324e-05,1.5693e-05,1.4382e-05,4.2994e-05,1.4693e-05,0.000423085,0.001757166,0.000106489,9.8039e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,2,10,device,0.001913401,0.00188255,0.001328884,3.4792e-05,3.5904e-05,3.2869e-05,1.4241e-05,1.4111e-05,3.0195e-05,1.4332e-05,0.000417987,0.001755824,6.6099e-05,9.6104e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,3,10,device,0.001917758,0.00188743775,0.001320962,3.7045e-05,4.5839e-05,3.276e-05,1.384e-05,1.3951e-05,3.6435e-05,1.4582e-05,0.000417466,0.001749524,7.283e-05,9.6506e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,4,10,device,0.001910056,0.00188111275,0.001326101,3.4151e-05,3.0426e-05,3.2749e-05,1.4181e-05,1.4022e-05,3.6175e-05,1.4381e-05,0.000418828,0.001754202,6.6601e-05,9.5303e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,5,10,device,0.001909676,0.001876949,0.001327903,3.4281e-05,3.4953e-05,3.2318e-05,1.4282e-05,1.4311e-05,3.0626e-05,1.4472e-05,0.000421222,0.001752451,6.1593e-05,9.5382e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,6,10,device,0.001899681,0.001869811,0.001321423,3.3971e-05,3.4002e-05,3.2268e-05,1.3881e-05,1.3861e-05,2.8273e-05,1.4362e-05,0.000419149,0.00174555,5.951e-05,9.4351e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,7,10,device,0.001906131,0.00187540975,0.001329595,3.4993e-05,3.3881e-05,3.2168e-05,1.4252e-05,1.4321e-05,3.0065e-05,1.4402e-05,0.000418558,0.00175208,6.1302e-05,9.5884e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,8,10,device,0.001905619,0.00187329325,0.001327942,3.4752e-05,3.4101e-05,3.2459e-05,1.3861e-05,1.4461e-05,2.5979e-05,1.4031e-05,0.00041988,0.001750377,5.9258e-05,9.5703e-05
tdma,cuda-cxx,4,64,64,4096,4096,1024,1024,9,10,device,0.00190582,0.00187719175,0.001329335,3.5142e-05,2.9234e-05,3.2259e-05,1.4121e-05,1.4302e-05,3.6785e-05,1.4071e-05,0.000420992,0.001754423,6.2173e-05,9.5774e-05
