solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,8,128,128,4096,16384,512,512,0,10,device,0.214406195,0.21438617725,0.001020451,7.8588e-05,0.211520495,9.6465e-05,4.3255e-05,2.4097e-05,0.009716962,2.647e-05,0.000261302,0.001309324,0.21289615,0.000220702
tdma,cuda-cxx,8,128,128,4096,16384,512,512,1,10,device,0.001534452,0.001524003125,0.000864006,6.4637e-05,0.000251767,6.4397e-05,2.1182e-05,2.3275e-05,8.5668e-05,2.2804e-05,0.000245829,0.001121182,0.000337435,0.000174152
tdma,cuda-cxx,8,128,128,4096,16384,512,512,2,10,device,0.001310927,0.001299749,0.000770997,6.2855e-05,5.63339999999e-05,6.0441e-05,1.81770000001e-05,2.31350000001e-05,6.89340000001e-05,2.3054e-05,0.000243726,0.001032369,0.000120542,0.000169485
tdma,cuda-cxx,8,128,128,4096,16384,512,512,3,10,device,0.001312019,0.001299847,0.000770156,6.3255e-05,7.15569999999e-05,6.14419999999e-05,1.78070000001e-05,2.2594e-05,5.69559999999e-05,2.30649999999e-05,0.000246129,0.001027833,0.000123926,0.000170346
tdma,cuda-cxx,8,128,128,4096,16384,512,512,4,10,device,0.00132555,0.001312922875,0.000771508,6.4216e-05,7.33300000001e-05,6.1532e-05,1.7697e-05,2.36159999999e-05,7.09369999999e-05,2.2834e-05,0.000245027,0.001031408,0.00013365,0.000171606
tdma,cuda-cxx,8,128,128,4096,16384,512,512,5,10,device,0.001314373,0.001299316125,0.00077274,6.3465e-05,5.78469999999e-05,6.0992e-05,1.7796e-05,2.3315e-05,6.5599e-05,2.2934e-05,0.000248163,0.001038699,0.000123446,0.000170706
tdma,cuda-cxx,8,128,128,4096,16384,512,512,6,10,device,0.001309285,0.001296039875,0.00076607,6.3925e-05,6.4547e-05,6.028e-05,1.7817e-05,2.28840000001e-05,5.22789999999e-05,2.32149999999e-05,0.000245739,0.001029626,0.000116615,0.000169883
tdma,cuda-cxx,8,128,128,4096,16384,512,512,7,10,device,0.001346,0.00133136675,0.000771658,6.5949e-05,0.000104526,6.1202e-05,1.78159999999e-05,2.35150000001e-05,9.8287e-05,2.2985e-05,0.000245699,0.001032298,0.000152458,0.000169975
tdma,cuda-cxx,8,128,128,4096,16384,512,512,8,10,device,0.001302395,0.00128965175,0.000769295,6.3275e-05,5.59039999999e-05,6.0261e-05,1.8007e-05,2.32849999999e-05,6.13429999999e-05,2.38849999999e-05,0.000245389,0.001029916,0.000107513,0.000170706
tdma,cuda-cxx,8,128,128,4096,16384,512,512,9,10,device,0.001301473,0.00128716525,0.000769274,6.2394e-05,5.3e-05,6.1232e-05,1.7927e-05,2.2603e-05,5.5162e-05,2.3034e-05,0.000247602,0.001034803,0.00010712,0.000169093
