solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,0,10,device,0.100088811,0.10007088175,0.002014443,4.7382e-05,0.095212443,6.4096e-05,3.6044e-05,1.5092e-05,0.012345416,1.9109e-05,0.000573791,0.002618249,0.097366025,0.000142506
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,1,10,device,0.002669687,0.00265878025,0.001772049,4.001e-05,0.000176505,3.6334e-05,1.6785e-05,1.4903e-05,4.7061e-05,1.4692e-05,0.000560211,0.002347102,0.000217246,0.000105428
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,2,10,device,0.002507233,0.0025036125,0.001765069,4.0421e-05,4.0831e-05,3.5784e-05,1.4952e-05,1.4832e-05,3.2068e-05,1.4722e-05,0.000558979,0.002339,7.2118e-05,0.000105759
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,3,10,device,0.002507072,0.00250256325,0.001766611,3.7426e-05,3.7977e-05,3.5464e-05,1.4873e-05,1.4451e-05,3.1077e-05,1.5303e-05,0.000560961,0.002339921,6.5738e-05,0.000102343
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,4,10,device,0.002506041,0.002502856,0.001767162,3.6745e-05,3.7496e-05,3.6035e-05,1.4872e-05,1.4772e-05,3.8087e-05,1.4952e-05,0.000560261,0.002341494,7.4692e-05,0.000102504
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,5,10,device,0.002497047,0.0024948915,0.001763446,3.7346e-05,3.6305e-05,3.5454e-05,1.4872e-05,1.4562e-05,2.9284e-05,1.4812e-05,0.000557646,0.002334885,6.4917e-05,0.000102174
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,6,10,device,0.002500813,0.0024967715,0.001762065,3.7387e-05,3.6014e-05,3.5423e-05,1.5353e-05,1.4702e-05,3.1998e-05,1.4962e-05,0.000559941,0.002336346,6.7751e-05,0.000102304
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,7,10,device,0.00249912,0.0024954925,0.001764759,3.7687e-05,3.4481e-05,3.5393e-05,1.5083e-05,1.4702e-05,2.8553e-05,1.4762e-05,0.000561262,0.002338239,6.1713e-05,0.000102544
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,8,10,device,0.002501113,0.002499681,0.001767683,3.7105e-05,3.7667e-05,3.5364e-05,1.5173e-05,1.4832e-05,3.5844e-05,1.4462e-05,0.000560031,0.002339942,7.1868e-05,0.000101643
tdma,cuda-cxx,4,128,256,4096,32768,1024,1024,9,10,device,0.002495985,0.0024935915,0.00176624,3.7546e-05,3.5162e-05,3.5213e-05,1.4832e-05,1.4692e-05,2.9204e-05,1.4612e-05,0.000557257,0.002337057,6.4366e-05,0.000102013
