solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
tdma,cuda-cxx,4,128,256,2048,32768,512,512,0,10,device,0.10695776,0.10695529075,0.00110597,6.4347e-05,0.102801913,6.4247e-05,3.7516e-05,1.4973e-05,0.012718316,1.8728e-05,0.000302835,0.001435645,0.105393392,0.000158499
tdma,cuda-cxx,4,128,256,2048,32768,512,512,1,10,device,0.001418349,0.0014146885,0.000886681,4.0811e-05,9.5323e-05,3.6144e-05,1.6835e-05,1.5142e-05,4.5479e-05,1.5083e-05,0.000283756,0.001186631,0.000136525,0.00010718
tdma,cuda-cxx,4,128,256,2048,32768,512,512,2,10,device,0.001350517,0.001344896,0.000882013,3.8307e-05,4.6029e-05,3.6695e-05,1.4942e-05,1.5023e-05,3.343e-05,1.4963e-05,0.000283656,0.001180611,7.7546e-05,0.000103806
tdma,cuda-cxx,4,128,256,2048,32768,512,512,3,10,device,0.001337387,0.0013351135,0.000881323,3.8017e-05,3.8037e-05,3.5493e-05,1.4762e-05,1.4572e-05,2.8894e-05,1.4972e-05,0.000282794,0.001177608,6.5438e-05,0.000103054
tdma,cuda-cxx,4,128,256,2048,32768,512,512,4,10,device,0.001349105,0.001344718,0.000882935,3.7797e-05,3.6985e-05,3.7427e-05,1.4733e-05,1.4922e-05,3.6145e-05,1.4922e-05,0.000281713,0.001178248,6.9394e-05,0.000105068
tdma,cuda-cxx,4,128,256,2048,32768,512,512,5,10,device,0.001338359,0.0013348835,0.000883496,3.7867e-05,3.5964e-05,3.4802e-05,1.4762e-05,1.4732e-05,3.0396e-05,1.4932e-05,0.000282214,0.001178428,6.4887e-05,0.000102333
tdma,cuda-cxx,4,128,256,2048,32768,512,512,6,10,device,0.001344829,0.00134192675,0.000885579,3.8338e-05,3.9158e-05,3.5073e-05,1.4571e-05,1.4752e-05,3.5803e-05,1.5083e-05,0.000281843,0.001181993,7.423e-05,0.000103246
tdma,cuda-cxx,4,128,256,2048,32768,512,512,7,10,device,0.00133929,0.00133629525,0.000881574,3.8548e-05,4.2103e-05,3.4371e-05,1.5003e-05,1.4712e-05,2.8012e-05,1.4782e-05,0.000282804,0.001178659,6.7592e-05,0.000102413
tdma,cuda-cxx,4,128,256,2048,32768,512,512,8,10,device,0.001343506,0.00133975775,0.000884838,3.7957e-05,3.9489e-05,3.4622e-05,1.5073e-05,1.4531e-05,3.1578e-05,1.4722e-05,0.000282524,0.001182435,6.9515e-05,0.000101832
tdma,cuda-cxx,4,128,256,2048,32768,512,512,9,10,device,0.001337888,0.00133543925,0.000883766,3.8388e-05,3.8057e-05,3.4643e-05,1.4592e-05,1.5072e-05,2.7461e-05,1.4592e-05,0.000282504,0.001180341,6.3195e-05,0.000102695
